TimeStamp,ResourceType,ResourceID,Effectiveness,Percentage,Compliant,Error,Condition,Path
,WebPortal,Landing.html,Availability,100,TRUE,,Received Status Code 200,
,WebPortal,Home.html,Availability,0,FALSE,404,,
,,,Effectiveness,,,,"The more available it is, the more effective it is :)",
,,,Effectiveness,,,,,
,WebPortal,Landing.html,Documentation,100,TRUE,,Recived Status Code 200 for the particular HTML file,
,WebPortal,Home.html,Documentation,0,FALSE,404,,
,CloudStorage,data-scenarios,Backup,100,TRUE,,,Saved as cloudstorage-datasecnarios-20-05-2023.zip
,CloudStorage,data-scenarios,Backup,0,FALSE,"No space avilable,limit reached",,
,CloudStorage,data-scenarios,Data Retention,100,TRUE,,Zip File available for last 60 days,
,CloudStorage,data-scenarios,Data Retention,0,FALSE,Zip Files available < 60 days,,
,CloudFunction,dqindex,Compliance,100,TRUE,,Compliant with ISO 901,
,CloudFunction,dqindex,Compliance,0,FALSE,Compliance not found,,
,CloudFunction,dqindex,Certification,100,TRUE,,Compliant with Key Words open source ISO 901 at URL,
,CloudFunction,dqindex,Certification,0,FALSE,Compliance not found,,
,,,Conformance,,,,,
,,,LegalLicensingPatents,,,,,
,,,LegalLicensingPatents,,,,,
,,,EnvironmentalProtection,,,,,
,,,Escrow,,,,,
,,,OpenSource,,,,,
,,,Privacy,,,,,
,,,Safety,,,,,
,,,Transparency,,,,,
,,,Management,,,,,
,,,Reporting,,,,,
,,,Capacity,,,,Pivot on Cloud Configuration Min-Max Limits,
,,,Durability,,,,,
5-23-2023 16:00:50,WebPortal,Landing.html,ConfigurationManagement,100,TRUE,,JSON File Available,
5-23-2023 16:00:50,WebPortal,Landing.html,ConfigurationManagement,0,FALSE,JSON not available,,
5-23-2023 16:00:50,WebPortal,Landing.html,Disaster Recovery,100,TRUE,,JSON file has DR flag enabled (Global Replication etc..),
5-23-2023 16:00:50,WebPortal,Landing.html,Disaster Recovery,0,FALSE,JSON not available,,
5-23-2023 16:00:50,WebPortal,Home.html,Auditability,,TRUE,,Last Modified date < 60 days ,
